Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Measuring type,Measurement Method
20260716 gNB,gNB,,,74.6516,1.35554374,103.69377968,74.6516,Trilaterated,"Weighted 3-D LS, 6 pts"
20260716 95% ring 01,ellipse95,,,74.6516,1.35553315,103.69384823,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 02,ellipse95,,,74.6516,1.35553072,103.69384679,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 03,ellipse95,,,74.6516,1.35552869,103.69384332,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 04,ellipse95,,,74.6516,1.35552711,103.69383791,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 05,ellipse95,,,74.6516,1.35552604,103.69383073,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 06,ellipse95,,,74.6516,1.35552550,103.69382200,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 07,ellipse95,,,74.6516,1.35552552,103.69381198,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 08,ellipse95,,,74.6516,1.35552610,103.69380098,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 09,ellipse95,,,74.6516,1.35552721,103.69378934,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 10,ellipse95,,,74.6516,1.35552882,103.69377740,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 11,ellipse95,,,74.6516,1.35553088,103.69376553,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 12,ellipse95,,,74.6516,1.35553334,103.69375409,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 13,ellipse95,,,74.6516,1.35553611,103.69374343,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 14,ellipse95,,,74.6516,1.35553912,103.69373387,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 15,ellipse95,,,74.6516,1.35554226,103.69372570,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 16,ellipse95,,,74.6516,1.35554545,103.69371917,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 17,ellipse95,,,74.6516,1.35554859,103.69371448,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 18,ellipse95,,,74.6516,1.35555158,103.69371177,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 19,ellipse95,,,74.6516,1.35555434,103.69371113,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 20,ellipse95,,,74.6516,1.35555677,103.69371256,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 21,ellipse95,,,74.6516,1.35555880,103.69371604,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 22,ellipse95,,,74.6516,1.35556038,103.69372145,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 23,ellipse95,,,74.6516,1.35556145,103.69372863,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 24,ellipse95,,,74.6516,1.35556199,103.69373736,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 25,ellipse95,,,74.6516,1.35556197,103.69374737,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 26,ellipse95,,,74.6516,1.35556139,103.69375837,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 27,ellipse95,,,74.6516,1.35556028,103.69377002,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 28,ellipse95,,,74.6516,1.35555867,103.69378195,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 29,ellipse95,,,74.6516,1.35555660,103.69379382,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 30,ellipse95,,,74.6516,1.35555415,103.69380526,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 31,ellipse95,,,74.6516,1.35555138,103.69381593,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 32,ellipse95,,,74.6516,1.35554837,103.69382549,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 33,ellipse95,,,74.6516,1.35554523,103.69383366,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 34,ellipse95,,,74.6516,1.35554204,103.69384018,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 35,ellipse95,,,74.6516,1.35553890,103.69384487,74.6516,Derived,95% confidence (2.45 sigma)
20260716 95% ring 36,ellipse95,,,74.6516,1.35553591,103.69384758,74.6516,Derived,95% confidence (2.45 sigma)
