Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Measuring type,Measurement Method
Cetran gNB,gNB,,,74.5478,1.35553822,103.69378267,74.5478,Trilaterated,"Weighted 3-D LS, 3 pts"
Cetran 95% ring 01,ellipse95,,,74.5478,1.35551684,103.69386266,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 02,ellipse95,,,74.5478,1.35551404,103.69386062,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 03,ellipse95,,,74.5478,1.35551198,103.69385621,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 04,ellipse95,,,74.5478,1.35551071,103.69384957,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 05,ellipse95,,,74.5478,1.35551028,103.69384089,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 06,ellipse95,,,74.5478,1.35551070,103.69383045,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 07,ellipse95,,,74.5478,1.35551195,103.69381855,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 08,ellipse95,,,74.5478,1.35551400,103.69380557,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 09,ellipse95,,,74.5478,1.35551679,103.69379188,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 10,ellipse95,,,74.5478,1.35552023,103.69377792,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 11,ellipse95,,,74.5478,1.35552421,103.69376410,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 12,ellipse95,,,74.5478,1.35552862,103.69375085,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 13,ellipse95,,,74.5478,1.35553333,103.69373856,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 14,ellipse95,,,74.5478,1.35553818,103.69372761,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 15,ellipse95,,,74.5478,1.35554303,103.69371834,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 16,ellipse95,,,74.5478,1.35554773,103.69371102,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 17,ellipse95,,,74.5478,1.35555215,103.69370588,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 18,ellipse95,,,74.5478,1.35555614,103.69370307,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 19,ellipse95,,,74.5478,1.35555959,103.69370268,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 20,ellipse95,,,74.5478,1.35556239,103.69370471,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 21,ellipse95,,,74.5478,1.35556445,103.69370912,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 22,ellipse95,,,74.5478,1.35556572,103.69371577,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 23,ellipse95,,,74.5478,1.35556615,103.69372444,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 24,ellipse95,,,74.5478,1.35556573,103.69373488,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 25,ellipse95,,,74.5478,1.35556448,103.69374678,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 26,ellipse95,,,74.5478,1.35556243,103.69375977,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 27,ellipse95,,,74.5478,1.35555964,103.69377345,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 28,ellipse95,,,74.5478,1.35555620,103.69378741,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 29,ellipse95,,,74.5478,1.35555222,103.69380123,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 30,ellipse95,,,74.5478,1.35554781,103.69381448,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 31,ellipse95,,,74.5478,1.35554311,103.69382677,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 32,ellipse95,,,74.5478,1.35553826,103.69383772,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 33,ellipse95,,,74.5478,1.35553340,103.69384699,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 34,ellipse95,,,74.5478,1.35552870,103.69385431,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 35,ellipse95,,,74.5478,1.35552428,103.69385946,74.5478,Derived,95% confidence (2.45 sigma)
Cetran 95% ring 36,ellipse95,,,74.5478,1.35552029,103.69386227,74.5478,Derived,95% confidence (2.45 sigma)
